log10c0,K,deltaE,id
-1.2,[1;5.926522887202331],[0;1],25820
0.8999999999999999,[1;2.374032899980444],[0;0.05],52973
-0.8999999999999999,[1;1.207886135725239],[0;0.05],28676
-1.2,[1;5.379772134139497],[0;1],25730
-1.35,[1;4.135974015242616],[0;1],23528
-1.05,[1;2.100977364837832],[0;1],27190
-3,[1;5.610813471192375],[0;1],1773
0,[1;1.406153479700242],[0;0.05],40942
0.15,[1;9.395133740458014],[0;1],43861
-1.65,[1;1.196813271555839],[0;0.05],18664
-0.8999999999999999,[1;1.111762745216693],[0;0.05],28369
-0.3,[1;2.091352339416043],[0;1],37169
1.8,[1;4.964302287953133],[0;0.05],64461
-0.45,[1;2.881236580568501],[0;1],35290
0.15,[1;8.670329803107332],[0;1],43789
-0.3,[1;1.357743271438664],[0;0.05],36990
-1.05,[1;1.268539203441029],[0;0.05],26883
-1.65,[1;1.790579081850723],[0;1],19136
1.35,[1;63.43256696460286],[0;1],59911
-0.45,[1;1.279790693865297],[0;0.05],34824
2.25,[1;12.10960765622777],[0;0.05],70473
1.65,[1;139.1934928682524],[0;1],64051
1.8,[1;10.03309004342498],[0;0.05],64989
-2.85,[1;1.14257558047642],[0;0.05],2472
3,[1;2760.940978545758],[0;1],81999
-2.25,[1;3.378179230042963],[0;1],11398
1.8,[1;63.58208611034863],[0;1],65375
2.85,[1;769.3841174879453],[0;1],79430
-0.3,[1;3.124067464124088],[0;1],37309
0.3,[1;8.413130824710075],[0;1],45658
0.45,[1;2.463369269693379],[0;1],47134
2.1,[1;15.9748028504471],[0;0.05],68846
3,[1;1741.421195261746],[0;1],81654
-1.95,[1;1.126638036240786],[0;0.05],14426
-1.5,[1;7.048525898721762],[0;1],22016
0.15,[1;6.667052254040861],[0;1],43590
2.1,[1;176.3896171438486],[0;1],69518
-0.15,[1;1.241181811936548],[0;0.05],38626
-0.8999999999999999,[1;1.291485305972084],[0;0.05],28943
3,[1;96.44317971195522],[0;0.05],80710
2.85,[1;27.37882195486907],[0;0.05],78314
-1.2,[1;1.613266946373304],[0;1],25110
1.05,[1;30.94656773870994],[0;1],55807
-2.7,[1;4.667733777438015],[0;1],5614
2.4,[1;2.977056061145507],[0;0.05],72109
1.95,[1;203.1021829467406],[0;1],67803
-0.75,[1;1.051016083401412],[0;0.05],30173
2.25,[1;22.71672557381719],[0;0.05],70873
0.3,[1;1.245719276554743],[0;0.05],44445
0.6000000000000001,[1;11.19715992555526],[0;1],49611
